id,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY
1404,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN,SPD,3700,,BIDADOO ONLINE AUCTION
3007,2000,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,5000,,BIDADOO ONLINE AUCTION
3011,2000,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,6100,,MURPHYS AUCTION
3015,2000,CHEVROLET,G3500,CARGO VAN - HVAC,FAS,6600,,MURPHYS AUCTION
3024,2000,CHEVROLET,G3500,CARGO VAN - CARPENTER,FAS,7365.56,,BIDADOO ONLINE AUCTION
3039,2000,CHEVROLET,G3500,CARGO VAN - PLUMBER,FAS,7065,,BIDADOO ONLINE AUCTION
3044,2000,CHEVROLET,G3500,CARGO VAN - HVAC,FAS,5555,,BIDADOO ONLINE AUCTION
3168,2000,CHEVROLET,C3500,PICKUP - CREW CAB - DRW,SPD,9100,,BIDADOO ONLINE AUCTION
3180,2000,CHEVROLET,G3500,CARGO VAN - PLUMBER WITH CRANE,FAS,6000,,MURPHYS AUCTION
3201,2000,CHEVROLET,C3500,PICKUP - CREW CAB,SPD,8400,,MURPHYS AUCTION
3207,2000,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,4948,,BIDADOO ONLINE AUCTION
3208,2000,CHEVROLET,ASTRO,CARGO MINIVAN,DOIT,5100,,BIDADOO ONLINE AUCTION
3210,1993,FORD,E350,PASSENGER VAN,SPD,2650,,BIDADOO ONLINE AUCTION
3221,2000,CHEVROLET,G3500,CARGO VAN - P-PATCH VAN,DON,5700,,BIDADOO ONLINE AUCTION
3301,2000,FORD,F250,PICKUP,DPR,4300,,BIDADOO ONLINE AUCTION
3303,2000,FORD,F250,PICKUP,DPR,5600,,MURPHYS AUCTION
3332,1992,GMC,RALLY,PASSENGER VAN,DPR,1050,,MURPHYS AUCTION
3510,1988,FORD,CARGO,CARGO VAN,DPR,1250,,MURPHYS AUCTION
3680,2000,FORD,F450,PICKUP - FLATBED - CLASS 4,SDOT,5500,,MURPHYS AUCTION
3811,2000,FORD,F250,PICKUP - CREW CAB,DPR,4750.05,,MURPHYS AUCTION
3885,2000,CHEVROLET,G3500,CARGO VAN,DPR,1300,,MURPHYS AUCTION
3921,2000,CHEVROLET,ASTRO,PASSENGER MINIVAN,DPR,5300,,BIDADOO ONLINE AUCTION
5313,1991,SPARTAN,PUMPER,FIRE PUMPER,SFD,6701,,BIDADOO ONLINE AUCTION
5316,1993,SPARTAN,PUMPER,FIRE PUMPER,SFD,7800,,BIDADOO ONLINE AUCTION
5331,1992,SPARTAN,LADDER,FIRE AERIAL REAR MOUNT,SFD,9100.01,,BIDADOO ONLINE AUCTION
5332,1992,SPARTAN,LADDER,FIRE AERIAL - REAR MOUNT,SFD,4750,,BIDADOO ONLINE AUCTION
5334,1993,CLARKLIFT,TM15S,FORKLIFT - 3000 LB LIFT - ELECTRIC,SFD,4376.99,,BIDADOO ONLINE AUCTION
